from,to,line,direction,time
1829,1347,换乘,莲溪路站内换乘,5
1348,1622,换乘,华夏中路站内换乘,5
1622,1348,换乘,华夏中路站内换乘,5
1428,1542,换乘,铜川路站内换乘,5
1542,1428,换乘,铜川路站内换乘,5
1442,1836,换乘,昌邑路站内换乘,5
1836,1442,换乘,昌邑路站内换乘,5
1528,5133,换乘,景洪路站内换乘,5
5133,1528,换乘,景洪路站内换乘,5
1443,1445,14号线,往桂桥路,2
1445,1443,14号线,往封浜,2
1848,1850,18号线,往康文路,2
1850,1848,18号线,往航头,2
